FirstName,LastName,Date_of_birth,Death_Date,Country_of_birth
Akira,Takayama,1900-01-01,,"Saitama, Japan"
Akira,Terao,1900-01-01,,[1]
Akiva,Goldsman,1900-01-01,,"New York City, New York"
Aksel,Hennie,1900-01-01,,Oslo
Al,Boasberg,1900-01-01,,"Buffalo, New York"
Al,Bryan,1900-01-01,,"Brantford, Ontario"
Al,Capp,1900-01-01,,"New Haven, Connecticut"
Al,Clark,1900-01-01,,Illinois
Al,Dubin,1900-01-01,,Zürich
Al,Garcia,1900-01-01,,San Francisco
Al,Gore,1900-01-01,,Unknown
Al,Gorgoni,1900-01-01,,Philadelphia
Al,Hall,1900-01-01,,Unknown
Al,Jean,1900-01-01,,"Detroit, Michigan"
Al,Jolson,1900-01-01,,Sredniki
Al,Jr.,1900-01-01,,"San Antonio, Texas"
Al,Kooper,1900-01-01,,Unknown
Al,Lewis,1900-01-01,,New York City
Al,Lichtman,1900-01-01,,Monok
Al,Neiburg,1900-01-01,,"St. Albans, Vermont"
Al,Pacino,1900-01-01,,Unknown
Al,Pearce,1900-01-01,,"San Jose, California"
Al,Reinert,1900-01-01,,Tokyo
Al,Rinker,1900-01-01,,"Tekoa, Washington"
Al,Rockett,1900-01-01,,Vincennes
Al,Sharpton,1900-01-01,,New York City
Al,Shean,1900-01-01,,Dornum
Al,Sherman,1900-01-01,,Kyiv
Al,Wasserman,1900-01-01,,Unknown
Al,Waxman,1900-01-01,,"Toronto, Ontario"
Alain,Chabat,1900-01-01,,Oran
Alain,Cuny,1900-01-01,,Saint-Malo
Alain,Delon,1900-01-01,,Sceaux
Alain,Dessauvage,1900-01-01,,Unknown
Alain,Dostie,1900-01-01,,Unknown
Alain,Gagnol,1900-01-01,,Roanne
Alain,Goldman,1900-01-01,,Montmartre
Alain,Henry,1900-01-01,,Unknown
Alain,Marcoen,1900-01-01,,Brussels
Alain,Resnais,1900-01-01,,Vannes
Alain,Robbe-Grillet,1900-01-01,,Brest
Alain,Romans,1900-01-01,,Unknown
Alain,Sarde,1900-01-01,,Boulogne-Billancourt
Alan,Alda,1900-01-01,,Manhattan
Alan,Arkin,1900-01-01,,Brooklyn
Alan,Badel,1900-01-01,,Rusholme
Alan,Ball,1900-01-01,,"Marietta, Georgia"
Alan,Barillaro,1900-01-01,,Unknown
Alan,Bates,1900-01-01,,Allestree
Alan,Baumgarten,1900-01-01,,Unknown
Alan,Baxter,1900-01-01,,"East Cleveland, Ohio"
Alan,Bergman,1900-01-01,,Brooklyn
Alan,Carney,1900-01-01,,New York City
Alan,Cox,1900-01-01,,Westminster
Alan,Crosland,1900-01-01,,[1]
Alan,Cumming,1900-01-01,,Aberfeldy
Alan,Curtis,1900-01-01,,"Chicago, Illinois"
Alan,Edelstein,1900-01-01,,Unknown
Alan,Hale,1900-01-01,,Unknown
Alan,Heim,1900-01-01,,The Bronx
Alan,Hewitt,1900-01-01,,Unknown
Alan,Hume,1900-01-01,,London
Alan,Johnson,1900-01-01,,"Ridley Park, Pennsylvania"
Alan,Jr.,1900-01-01,,Los Angeles
Alan,Kim,1900-01-01,,[1]
Alan,King,1900-01-01,,Unknown
Alan,Ladd,1900-01-01,,"Hot Springs, Arkansas"
Alan,Landsburg,1900-01-01,,"White Plains, New York"
Alan,Lerner,1900-01-01,,Unknown
Alan,Llwyd,1900-01-01,,Unknown
Alan,Marshal,1900-01-01,,Woollahra
Alan,Marshall,1900-01-01,,[1]
Alan,May,1900-01-01,,"Indianapolis, Indiana"
Alan,Menken,1900-01-01,,Manhattan
Alan,Mowbray,1900-01-01,,London
Alan,Napier,1900-01-01,,King's Norton
Alan,Osbiston,1900-01-01,,Unknown
Alan,Pakula,1900-01-01,,The Bronx
Alan,Parker,1900-01-01,,Islington
Alan,Price,1900-01-01,,Fatfield
Alan,Rawsthorne,1900-01-01,,"Haslingden, Lancashire"
Alan,Rickman,1900-01-01,,"Acton, London"
Alan,Root,1900-01-01,,Unknown
Alan,Ruck,1900-01-01,,Cleveland
Alan,Rudolph,1900-01-01,,Los Angeles
Alan,Silvestri,1900-01-01,,Unknown
Alan,Sr.,1900-01-01,,Unknown
Alan,Trustman,1900-01-01,,Unknown
Alan,Tudyk,1900-01-01,,"El Paso, Texas"
Alan,Webb,1900-01-01,,York
Alan,Young,1900-01-01,,North Shields
Alana,Haim,1900-01-01,,Los Angeles
Alanna,Ubach,1900-01-01,,"Downey, California"
Alar,Kivilo,1900-01-01,,Unknown
Alastair,McIntyre,1900-01-01,,Oxfordshire
Alastair,Sim,1900-01-01,,Edinburgh
Alba,Baptista,1900-01-01,,Lisbon
Alba,Rohrwacher,1900-01-01,,Florence
Albert,Akst,1900-01-01,,New Jersey
Albert,Austin,1900-01-01,,Birmingham
Albert,Basserman,1900-01-01,,Mannheim
Albert,Bassermann,1900-01-01,,Mannheim
Albert,Benitz,1900-01-01,,Freiburg
Albert,Berger,1900-01-01,,Unknown
Albert,Broccoli,1900-01-01,,New York City
Albert,Brooks,1900-01-01,,"Beverly Hills, California"
Albert,Cohen,1900-01-01,,Baltimore
Albert,Dekker,1900-01-01,,Brooklyn
Albert,DeMond,1900-01-01,,"Providence, Rhode Island"
Albert,Einstein,1900-01-01,,Ulm
Albert,Finney,1900-01-01,,Salford
Albert,Hackett,1900-01-01,,Unknown
Albert,Hague,1900-01-01,,Berlin
Albert,Hall,1900-01-01,,"Brighton, Alabama"
Albert,Jurgenson,1900-01-01,,Unknown
Albert,Lamorisse,1900-01-01,,Paris
Albert,Lewin,1900-01-01,,Brooklyn
Albert,Lewis,1900-01-01,,Kolno
Albert,Lieven,1900-01-01,,Hohenstein
Albert,Magnoli,1900-01-01,,[1]
Albert,Malotte,1900-01-01,,Philadelphia
Albert,Maltz,1900-01-01,,New York City
Albert,Mannheimer,1900-01-01,,Unknown
Albert,Maysles,1900-01-01,,Boston
Albert,Rémy,1900-01-01,,Hauts-de-Seine
Albert,Rogell,1900-01-01,,Oklahoma City
Albert,Ruddy,1900-01-01,,"Montreal, Quebec"
Albert,Salmi,1900-01-01,,Brooklyn
Albert,Schweitzer,1900-01-01,,Kaysersberg
Albert,Sharpe,1900-01-01,,Belfast
Albert,Zugsmith,1900-01-01,,"Atlantic City, New Jersey"
Alberta,Watson,1900-01-01,,"Toronto, Ontario"
Alberto,Ancilotto,1900-01-01,,Unknown
Alberto,Colombo,1900-01-01,,Unknown
Alberto,Grimaldi,1900-01-01,,Naples
Alberto,Iglesias,1900-01-01,,San Sebastián
Alberto,Isaac,1900-01-01,,Mexico City
Alberto,Lattuada,1900-01-01,,Vaprio d'Adda
Alberto,Lecchi,1900-01-01,,Buenos Aires
Alberto,Lupo,1900-01-01,,Genoa
Alberto,Mielgo,1900-01-01,,Madrid
Alberto,Rabagliati,1900-01-01,,Milan
Alberto,Sordi,1900-01-01,,Rome
Albie,Hecht,1900-01-01,,Unknown
Albrecht,Joseph,1900-01-01,,Frankfurt
Albrecht,Schoenhals,1900-01-01,,Mannheim
Albrecht,Schuch,1900-01-01,,Jena
Alden,Ehrenreich,1900-01-01,,Unknown
Aldis,Hodge,1900-01-01,,"Jacksonville, North Carolina"
Aldo,Fabrizi,1900-01-01,,Rome
Aldo,Giuffrè,1900-01-01,,Naples
Aldo,Puglisi,1900-01-01,,Catania
Aldo,Ray,1900-01-01,,"Pen Argyl, Pennsylvania"
Aldo,Tonti,1900-01-01,,Unknown
Aldous,Huxley,1900-01-01,,Godalming
Alê,Abreu,1900-01-01,,São Paulo
Alec,Baldwin,1900-01-01,,"Amityville, New York"
Alec,Coppel,1900-01-01,,Unknown
Alec,Francis,1900-01-01,,Unknown
Alec,Guinness,1900-01-01,,Maida Vale
Alec,McCowen,1900-01-01,,Tunbridge Wells
Alejandro,Amenábar,1900-01-01,,Santiago
Alejandro,Iñárritu,1900-01-01,,Mexico City
Alejandro,Rey,1900-01-01,,Buenos Aires
Alek,Keshishian,1900-01-01,,Beirut
Aleksandar,Petrović,1900-01-01,,Paris
Aleksandar,Sekulović,1900-01-01,,Herceg Novi
Aleksander,Ścibor-Rylski,1900-01-01,,Grudziądz
Aleksandr,Boyarsky,1900-01-01,,[1]
Aleksandr,Petrov,1900-01-01,,Prechistoye
Aleksandra,Konieczna,1900-01-01,,Prudnik
Aleksei,Rodionov,1900-01-01,,"Moscow, Russia"
Aleksei,Serebryakov,1900-01-01,,Moscow
Aleksey,Batalov,1900-01-01,,Vladimir
Aleksey,Rozin,1900-01-01,,[1]
Alessandro,Camon,1900-01-01,,Padua
Alessandro,Cicognini,1900-01-01,,Unknown
Alessandro,Momo,1900-01-01,,Unknown
Alessandro,Nivola,1900-01-01,,Boston
Alessandro,Sermoneta,1900-01-01,,Unknown
Alessio,Boni,1900-01-01,,Sarnico
Álex,Angulo,1900-01-01,,Erandio
Alex,Blatt,1900-01-01,,Unknown
Alex,Borstein,1900-01-01,,"Highland Park, Illinois"
Alex,Bulkley,1900-01-01,,Unknown
Alex,Coco,1900-01-01,,[1]
Alex,D'Arcy,1900-01-01,,Cairo
Alex,Drehsler,1900-01-01,,Unknown
Alex,Ebert,1900-01-01,,Los Angeles
Alex,Ferns,1900-01-01,,Lennoxtown
Alex,Garland,1900-01-01,,"London, England"
Alex,Gibney,1900-01-01,,Unknown
Alex,Haley,1900-01-01,,"Ithaca, New York"
Alex,Hassell,1900-01-01,,Southend-on-Sea
Alex,Heffes,1900-01-01,,Unknown
Alex,Honnold,1900-01-01,,[1]
Alex,Jennings,1900-01-01,,Upminster
Alex,Karras,1900-01-01,,"Gary, Indiana"
Alex,Kurtzman,1900-01-01,,Los Angeles
Alex,Linz,1900-01-01,,"Santa Barbara, California"
Alex,Lovy,1900-01-01,,[1]
Alex,Nicol,1900-01-01,,"Ossining, New York"
Alex,North,1900-01-01,,"Chester, Pennsylvania"
Alex,Phillips,1900-01-01,,Renfrew
Alex,Proyas,1900-01-01,,Alexandria
Alex,Rocco,1900-01-01,,"Cambridge, Massachusetts"
Alex,Rodríguez,1900-01-01,,Saint-Martin-d'Hères
Alex,Sharp,1900-01-01,,"Westminster, London"
Alex,Somers,1900-01-01,,Baltimore
Alex,Thomson,1900-01-01,,London
Alex,Winitsky,1900-01-01,,Unknown
Alex,Wurman,1900-01-01,,Chicago
Alex,Young,1900-01-01,,"London, England"
Alexa,Davalos,1900-01-01,,Unknown
Alexander,Adabashyan,1900-01-01,,Moscow
Alexander,Archdale,1900-01-01,,Jhansi
Alexander,Balanescu,1900-01-01,,Bucharest
Alexander,Courage,1900-01-01,,Philadelphia
Alexander,D'Arcy,1900-01-01,,Cairo
Alexander,Faris,1900-01-01,,Unknown
Alexander,Godunov,1900-01-01,,Yuzhno-Sakhalinsk
Alexander,Gould,1900-01-01,,Los Angeles
Alexander,Granach,1900-01-01,,Werbowitz
Alexander,Grasshoff,1900-01-01,,Boston
Alexander,Hall,1900-01-01,,Unknown
Alexander,Hammid,1900-01-01,,Linz
Alexander,Held,1900-01-01,,Munich
Alexander,Jr.,1900-01-01,,"Washington Heights, New York"
Alexander,Knox,1900-01-01,,Strathroy
Alexander,Korda,1900-01-01,,Austria-Hungary
Alexander,Mackendrick,1900-01-01,,Boston
Alexander,Nanau,1900-01-01,,Bucharest
Alexander,Payne,1900-01-01,,Omaha
Alexander,Rodnyansky,1900-01-01,,Kyiv
Alexander,Salkind,1900-01-01,,Danzig
Alexander,Scourby,1900-01-01,,"Brooklyn, New York"
Alexander,Seversky,1900-01-01,,New Style
Alexander,Siddig,1900-01-01,,Omdurman
Alexander,Tansman,1900-01-01,,Unknown
Alexander,Woollcott,1900-01-01,,"Colts Neck Township, New Jersey"
Alexandra,Borbély,1900-01-01,,Nitra
Alexandra,Lara,1900-01-01,,Bucharest
Alexandra,Milchan,1900-01-01,,Unknown
Alexandra,Roach,1900-01-01,,Ammanford
Alexandra,Shipp,1900-01-01,,"Phoenix, Arizona"
Alexandra,Stewart,1900-01-01,,"Montreal, Quebec"
Alexandre,Arbatt,1900-01-01,,Unknown
Alexandre,Bisson,1900-01-01,,Briouze
Alexandre,Desplat,1900-01-01,,Paris
Alexandre,Espigares,1900-01-01,,Unknown
Alexandre,Gavras,1900-01-01,,Paris
Alexandre,Mnouchkine,1900-01-01,,St. Petersburg
Alexandre,Rodrigues,1900-01-01,,Rio de Janeiro
Alexandre,Trauner,1900-01-01,,Unknown
Alexei,Aigui,1900-01-01,,Unknown
Alexei,Navalny,1900-01-01,,Butyn
Alexei,Petrenko,1900-01-01,,Kozelets Raion
Alexis,Manenti,1900-01-01,,Unknown
Alexis,Minotis,1900-01-01,,Chania
Alexis,Smith,1900-01-01,,Penticton
Alexis,Zabe,1900-01-01,,Mexico City
Alexis,Zegerman,1900-01-01,,Unknown
Alf,Henrikson,1900-01-01,,Huskvarna
Alfi,Sinniger,1900-01-01,,Unknown
Alfie,Allen,1900-01-01,,"Hammersmith, London"
Alfie,Bass,1900-01-01,,Bethnal Green
Alfonso,Arau,1900-01-01,,Mexico City
Alfonso,Cuarón,1900-01-01,,Mexico City
Alfre,Woodard,1900-01-01,,"Tulsa, Oklahoma"
Alfred,Gilks,1900-01-01,,Unknown
Alfred,Green,1900-01-01,,"Perris, California"
Alfred,Haesler,1900-01-01,,Unknown
Alfred,Hansen,1900-01-01,,Unknown
Alfred,Hayes,1900-01-01,,Unknown
Alfred,Hitchcock,1900-01-01,,Leytonstone
Alfred,Kelman,1900-01-01,,New York
Alfred,Levitt,1900-01-01,,"Bronx, New York"
Alfred,Lunt,1900-01-01,,Milwaukee
Alfred,Lutter,1900-01-01,,"Ridgewood, New Jersey"
Alfred,Lynch,1900-01-01,,Whitechapel
Alfred,Molina,1900-01-01,,Paddington
Alfred,Neumann,1900-01-01,,Lautenburg
Alfred,Newman,1900-01-01,,"New Haven, Connecticut"
Alfred,Roome,1900-01-01,,London
Alfred,Ryder,1900-01-01,,Unknown
Alfred,Santell,1900-01-01,,San Francisco
Alfred,Werker,1900-01-01,,Deadwood
Alfredo,Bini,1900-01-01,,Livorno
Alfredo,Castro,1900-01-01,,Recoleta
Alfredo,Guarini,1900-01-01,,Genoa
Alfredo,Mañas,1900-01-01,,Unknown
Alfredo,Matas,1900-01-01,,Unknown
Alfredo,Ripstein,1900-01-01,,Unknown
Algernon,Walker,1900-01-01,,Unknown
Ali,Abbasi,1900-01-01,,Tehran
Ali,Badshah,1900-01-01,,Toronto
Ali,Fazal,1900-01-01,,New Delhi
Ali,Kazmi,1900-01-01,,Karachi
Ali,MacGraw,1900-01-01,,[1]
Ali,Suliman,1900-01-01,,Nazareth
Alia,Bhatt,1900-01-01,,Bombay
Alia,Shawkat,1900-01-01,,"Riverside, California"
Alice,Arlen,1900-01-01,,Chicago
Alice,Brady,1900-01-01,,Unknown
Alice,Braga,1900-01-01,,São Paulo
Alice,Brooks,1900-01-01,,Unknown
Alice,Elliott,1900-01-01,,Unknown
Alice,Evans,1900-01-01,,New Jersey
Alice,Eve,1900-01-01,,London
Alice,Faye,1900-01-01,,Manhattan
Alice,Ghostley,1900-01-01,,Eve
Alice,Herz-Sommer,1900-01-01,,Prague
Alice,Isaaz,1900-01-01,,Bordeaux
Alice,Joyce,1900-01-01,,"Kansas City, Missouri"
Alice,Krige,1900-01-01,,Upington
Alice,Miller,1900-01-01,,Unknown
Alice,Munro,1900-01-01,,"Wingham, Ontario"
Alice,Playten,1900-01-01,,New York City
Alice,Rohrwacher,1900-01-01,,Fiesole
Alice,Winocour,1900-01-01,,Paris
Alicia,Goranson,1900-01-01,,"Evanston, Illinois"
Alicia,Vikander,1900-01-01,,Gothenburg
Alicia,Witt,1900-01-01,,"Worcester, Massachusetts"
Alida,Valli,1900-01-01,,Freiin
Aline,MacMahon,1900-01-01,,"McKeesport, Pennsylvania"
Alisa,Lepselter,1900-01-01,,Unknown
Alison,Brie,1900-01-01,,Los Angeles
Alison,Doody,1900-01-01,,[1]
Alison,Elliott,1900-01-01,,"San Francisco, California"
Alison,Folland,1900-01-01,,Boston
Alison,Lohman,1900-01-01,,"Palm Springs, California"
Alison,Nigh-Strelich,1900-01-01,,Unknown
Alison,Owen,1900-01-01,,Portsmouth
Alison,Pill,1900-01-01,,Toronto
Alison,Snowden,1900-01-01,,"Arnold, Nottinghamshire"
Alison,Steadman,1900-01-01,,Liverpool
Alison,Sudol,1900-01-01,,"Seattle, Washington"
Alix,Madigan-Yorkin,1900-01-01,,Unknown
Allan,Arkush,1900-01-01,,"Jersey City, New Jersey"
Allan,Burns,1900-01-01,,Baltimore
Allan,Corduner,1900-01-01,,Stockholm
Allan,Dwan,1900-01-01,,Toronto
Allan,Edwall,1900-01-01,,Rödön
Allan,Ekelund,1900-01-01,,Örebro
Allan,Gray,1900-01-01,,[1]
Allan,Jones,1900-01-01,,Old Forge
Allan,Miller,1900-01-01,,[1]
Allan,Nicholls,1900-01-01,,Montreal
Allan,Scott,1900-01-01,,"Elgin, Moray"
Allan,Sloane,1900-01-01,,Unknown
Allen,Boretz,1900-01-01,,Unknown
Allen,Davey,1900-01-01,,Bayonne
Allen,Daviau,1900-01-01,,"New Orleans, Louisiana"
Allen,Garfield,1900-01-01,,"Newark, New Jersey"
Allen,Goorwitz,1900-01-01,,"Newark, New Jersey"
Allen,Jenkins,1900-01-01,,"Staten Island, New York"
Allen,McNeil,1900-01-01,,Unknown
Allen,Rivkin,1900-01-01,,Unknown
Allen,Siegler,1900-01-01,,Unknown
Allie,Light,1900-01-01,,Unknown
Allie,Wrubel,1900-01-01,,Middletown
Allison,Abbate,1900-01-01,,"Brooklyn, New York"
Allison,Janney,1900-01-01,,Boston
Allison,Rutledge-Parisi,1900-01-01,,Unknown
Allison,Segan,1900-01-01,,Unknown
Allison,Shearmur,1900-01-01,,New York City
Allison,Williams,1900-01-01,,"Hartford, Connecticut"
Ally,Maki,1900-01-01,,Kirkland
Ally,Sheedy,1900-01-01,,Unknown
Allyn,Joslyn,1900-01-01,,Milford
Allyn,McLerie,1900-01-01,,"Grand-Mère, Quebec"
Alma,Macrorie,1900-01-01,,Davenport
Alois,Fišárek,1900-01-01,,Unknown
Alois,Reiser,1900-01-01,,Prague
Altina,Carey,1900-01-01,,New York
Alun,Bollinger,1900-01-01,,Unknown
Alva,Noto,1900-01-01,,Karl-Marx-Stadt
Alvah,Bessie,1900-01-01,,New York City
Álvaro,Guerrero,1900-01-01,,Unknown
Álvaro,Nagore,1900-01-01,,Unknown
Alwin,Küchler,1900-01-01,,Unknown
Amanda,Donohoe,1900-01-01,,London
Amanda,Forbis,1900-01-01,,Unknown
Amanda,Gorman,1900-01-01,,"Los Angeles, California, U.S."
Amanda,Jones,1900-01-01,,Unknown
Amanda,Lawrence,1900-01-01,,Torbay
Amanda,Micheli,1900-01-01,,"Boston, Massachusetts"
Amanda,Peet,1900-01-01,,Unknown
Amanda,Plummer,1900-01-01,,Unknown
Amanda,Posey,1900-01-01,,Unknown
Amanda,Redman,1900-01-01,,Brighton
Amanda,Seyfried,1900-01-01,,"Allentown, Pennsylvania"
Amanda,Tilby,1900-01-01,,Unknown
Amanda,Walker,1900-01-01,,Unknown
Amani,Ballour,1900-01-01,,Ghouta
Amar'e,Stoudemire,1900-01-01,,"Lake Wales, Florida"
Amber,Heard,1900-01-01,,"Austin, Texas"
Amber,Tamblyn,1900-01-01,,"Santa Monica, California"
Amedeo,Nazzari,1900-01-01,,Cagliari
Amelia,Torre,1900-01-01,,Unknown
America,Ferrera,1900-01-01,,Los Angeles
Ami,Ayalon,1900-01-01,,Tiberias
Amir,Mokri,1900-01-01,,Iran
Amira,Casar,1900-01-01,,Unknown
Amit,Gicelter,1900-01-01,,Jerusalem
Amitabh,Bachchan,1900-01-01,,[1]
Amparo,Leal,1900-01-01,,Madrid
Amparo,Muñoz,1900-01-01,,[1]
Amram,Nowak,1900-01-01,,Unknown
Amrish,Puri,1900-01-01,,Nawanshahr
