Iteration,Award Category,Winner,Film
13,Best Art Direction (Black-and-White),Dark Command,Dark Command
13,Best Art Direction (Black-and-White),Foreign Correspondent,Foreign Correspondent
13,Best Art Direction (Black-and-White),Lillian Russell,Lillian Russell
13,Best Art Direction (Black-and-White),My Favorite Wife,My Favorite Wife
13,Best Art Direction (Black-and-White),"My Son, My Son!","My Son, My Son!"
13,Best Art Direction (Black-and-White),Our Town,Our Town
13,Best Art Direction (Black-and-White),Rebecca,Rebecca
13,Best Art Direction (Black-and-White),The Sea Hawk,The Sea Hawk
13,Best Art Direction (Black-and-White),The Westerner,The Westerner
13,Best Art Direction (Color),The Thief of Bagdad,The Thief of Bagdad
13,Best Art Direction (Color),Bitter Sweet,Bitter Sweet
13,Best Art Direction (Color),Down Argentine Way,Down Argentine Way
13,Best Art Direction (Color),North West Mounted Police,North West Mounted Police
13,Best Cinematography (Black-and-White),Rebecca,Rebecca
13,Best Cinematography (Black-and-White),Abe Lincoln in Illinois,Abe Lincoln in Illinois
13,Best Cinematography (Black-and-White),"All This, and Heaven Too","All This, and Heaven Too"
13,Best Cinematography (Black-and-White),"Arise, My Love","Arise, My Love"
13,Best Cinematography (Black-and-White),Boom Town,Boom Town
13,Best Cinematography (Black-and-White),Foreign Correspondent,Foreign Correspondent
13,Best Cinematography (Black-and-White),The Letter,The Letter
13,Best Cinematography (Black-and-White),The Long Voyage Home,The Long Voyage Home
13,Best Cinematography (Black-and-White),Spring Parade,Spring Parade
13,Best Cinematography (Black-and-White),Waterloo Bridge,Waterloo Bridge
13,Best Cinematography (Color),The Thief of Bagdad,The Thief of Bagdad
13,Best Cinematography (Color),Bitter Sweet,Bitter Sweet
13,Best Cinematography (Color),The Blue Bird,The Blue Bird
13,Best Cinematography (Color),Down Argentine Way,Down Argentine Way
13,Best Cinematography (Color),North West Mounted Police,North West Mounted Police
13,Best Cinematography (Color),Northwest Passage,Northwest Passage
13,Best Film Editing,North West Mounted Police,North West Mounted Police
13,Best Film Editing,The Grapes of Wrath,The Grapes of Wrath
13,Best Film Editing,The Letter,The Letter
13,Best Film Editing,The Long Voyage Home,The Long Voyage Home
13,Best Film Editing,Rebecca,Rebecca
13,Best Special Effects,The Thief of Bagdad,The Thief of Bagdad
13,Best Special Effects,The Blue Bird,The Blue Bird
13,Best Special Effects,Boom Town,Boom Town
13,Best Special Effects,The Boys from Syracuse,The Boys from Syracuse
13,Best Special Effects,Dr. Cyclops,Dr. Cyclops
13,Best Special Effects,Foreign Correspondent,Foreign Correspondent
13,Best Special Effects,The Invisible Man Returns,The Invisible Man Returns
13,Best Special Effects,The Long Voyage Home,The Long Voyage Home
13,Best Special Effects,One Million B.C.,One Million B.C.
13,Best Special Effects,Rebecca,Rebecca
13,Best Special Effects,The Sea Hawk,The Sea Hawk
13,Best Special Effects,Swiss Family Robinson,Swiss Family Robinson
13,Best Special Effects,Typhoon,Typhoon
13,Best Special Effects,Women in War,Women in War
14,Outstanding Motion Picture,How Green Was My Valley,How Green Was My Valley
14,Outstanding Motion Picture,Blossoms in the Dust,Blossoms in the Dust
14,Outstanding Motion Picture,Citizen Kane,Citizen Kane
14,Outstanding Motion Picture,Here Comes Mr. Jordan,Here Comes Mr. Jordan
14,Outstanding Motion Picture,Hold Back the Dawn,Hold Back the Dawn
14,Outstanding Motion Picture,The Little Foxes,The Little Foxes
14,Outstanding Motion Picture,The Maltese Falcon,The Maltese Falcon
14,Outstanding Motion Picture,One Foot in Heaven,One Foot in Heaven
14,Outstanding Motion Picture,Sergeant York,Sergeant York
14,Outstanding Motion Picture,Suspicion,Suspicion
14,Best Directing,John Ford,How Green Was My Valley
14,Best Directing,Orson Welles,Citizen Kane
14,Best Directing,Alexander Hall,Here Comes Mr. Jordan
14,Best Directing,William Wyler,The Little Foxes
14,Best Directing,Howard Hawks,Sergeant York
14,Best Actor,Gary Cooper,Sergeant York
14,Best Actor,Cary Grant,Penny Serenade
14,Best Actor,Walter Huston,All That Money Can Buy
14,Best Actor,Robert Montgomery,Here Comes Mr. Jordan
14,Best Actor,Orson Welles,Citizen Kane
14,Best Actress,Joan Fontaine,Suspicion
14,Best Actress,Bette Davis,The Little Foxes
14,Best Actress,Olivia de Havilland,Hold Back the Dawn
14,Best Actress,Greer Garson,Blossoms in the Dust
14,Best Actress,Barbara Stanwyck,Ball of Fire
14,Best Actor in a Supporting Role,Donald Crisp,How Green Was My Valley
14,Best Actor in a Supporting Role,Walter Brennan,Sergeant York
14,Best Actor in a Supporting Role,Charles Coburn,The Devil and Miss Jones
14,Best Actor in a Supporting Role,James Gleason,Here Comes Mr. Jordan
14,Best Actor in a Supporting Role,Sydney Greenstreet,The Maltese Falcon
14,Best Actress in a Supporting Role,Mary Astor,The Great Lie
14,Best Actress in a Supporting Role,Sara Allgood,How Green Was My Valley
14,Best Actress in a Supporting Role,Patricia Collinge,The Little Foxes
14,Best Actress in a Supporting Role,Teresa Wright,The Little Foxes
14,Best Actress in a Supporting Role,Margaret Wycherly,Sergeant York
14,Best Writing (Original Screenplay),Citizen Kane,Citizen Kane
14,Best Writing (Original Screenplay),The Devil and Miss Jones,The Devil and Miss Jones
14,Best Writing (Original Screenplay),Sergeant York,Sergeant York
14,Best Writing (Original Screenplay),"Tall, Dark and Handsome","Tall, Dark and Handsome"
14,Best Writing (Original Screenplay),"Tom, Dick and Harry","Tom, Dick and Harry"
14,Best Writing (Screenplay),Here Comes Mr. Jordan,Here Comes Mr. Jordan
14,Best Writing (Screenplay),Hold Back the Dawn,Hold Back the Dawn
14,Best Writing (Screenplay),How Green Was My Valley,How Green Was My Valley
14,Best Writing (Screenplay),The Little Foxes,The Little Foxes
14,Best Writing (Screenplay),The Maltese Falcon,The Maltese Falcon
14,Best Writing (Original Story),Here Comes Mr. Jordan,Here Comes Mr. Jordan
14,Best Writing (Original Story),Ball of Fire,Ball of Fire
14,Best Writing (Original Story),The Lady Eve,The Lady Eve
14,Best Writing (Original Story),Meet John Doe,Meet John Doe
14,Best Writing (Original Story),Night Train to Munich,Night Train to Munich
14,Best Documentary (Short Subject),Churchill's Island,Churchill's Island
14,Best Documentary (Short Subject),Adventure in the Bronx,Adventure in the Bronx
14,Best Documentary (Short Subject),Bomber: A Defense Report on Film,Bomber: A Defense Report on Film
14,Best Documentary (Short Subject),Christmas Under Fire,Christmas Under Fire
14,Best Documentary (Short Subject),A Letter from Home,A Letter from Home
14,Best Documentary (Short Subject),Life of a Thoroughbred,Life of a Thoroughbred
14,Best Documentary (Short Subject),Norway in Revolt,Norway in Revolt
14,Best Documentary (Short Subject),A Place to Live,A Place to Live
14,Best Documentary (Short Subject),Russian Soil,Russian Soil
14,Best Documentary (Short Subject),Soldiers of the Sky,Soldiers of the Sky
14,Best Documentary (Short Subject),War Clouds in the Pacific,War Clouds in the Pacific
14,Best Short Subject (One-Reel),Of Pups and Puzzles,Of Pups and Puzzles
14,Best Short Subject (One-Reel),Army Champions,Army Champions
14,Best Short Subject (One-Reel),Beauty and the Beach,Beauty and the Beach
14,Best Short Subject (One-Reel),Down on the Farm,Down on the Farm
14,Best Short Subject (One-Reel),Forty Boys and a Song,Forty Boys and a Song
14,Best Short Subject (One-Reel),Kings of the Turf,Kings of the Turf
14,Best Short Subject (One-Reel),Sagebrush and Silver,Sagebrush and Silver
14,Best Short Subject (Two-Reel),Main Street on the March!,Main Street on the March!
14,Best Short Subject (Two-Reel),Alive in the Deep,Alive in the Deep
14,Best Short Subject (Two-Reel),Forbidden Passage,Forbidden Passage
14,Best Short Subject (Two-Reel),The Gay Parisian,The Gay Parisian
14,Best Short Subject (Two-Reel),The Tanks Are Coming,The Tanks Are Coming
14,Best Short Subject (Cartoon),Lend a Paw,Lend a Paw
14,Best Short Subject (Cartoon),Boogie Woogie Bugle Boy of Company B,Boogie Woogie Bugle Boy of Company B
14,Best Short Subject (Cartoon),Hiawatha's Rabbit Hunt,Hiawatha's Rabbit Hunt
14,Best Short Subject (Cartoon),How War Came,How War Came
14,Best Short Subject (Cartoon),The Night Before Christmas,The Night Before Christmas
14,Best Short Subject (Cartoon),Rhapsody in Rivets,Rhapsody in Rivets
14,Best Short Subject (Cartoon),Rhythm in the Ranks,Rhythm in the Ranks
14,Best Short Subject (Cartoon),The Rookie Bear,The Rookie Bear
14,Best Short Subject (Cartoon),Superman,Superman
14,Best Short Subject (Cartoon),Truant Officer Donald,Truant Officer Donald
14,Best Music (Music Score of a Dramatic Picture),All That Money Can Buy,All That Money Can Buy
14,Best Music (Music Score of a Dramatic Picture),Back Street,Back Street
14,Best Music (Music Score of a Dramatic Picture),Ball of Fire,Ball of Fire
14,Best Music (Music Score of a Dramatic Picture),Cheers for Miss Bishop,Cheers for Miss Bishop
14,Best Music (Music Score of a Dramatic Picture),Citizen Kane,Citizen Kane
14,Best Music (Music Score of a Dramatic Picture),Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde
14,Best Music (Music Score of a Dramatic Picture),Hold Back the Dawn,Hold Back the Dawn
14,Best Music (Music Score of a Dramatic Picture),How Green Was My Valley,How Green Was My Valley
14,Best Music (Music Score of a Dramatic Picture),King of the Zombies,King of the Zombies
14,Best Music (Music Score of a Dramatic Picture),Ladies in Retirement,Ladies in Retirement
14,Best Music (Music Score of a Dramatic Picture),The Little Foxes,The Little Foxes
14,Best Music (Music Score of a Dramatic Picture),Lydia,Lydia
14,Best Music (Music Score of a Dramatic Picture),Mercy Island,Mercy Island
14,Best Music (Music Score of a Dramatic Picture),Sergeant York,Sergeant York
14,Best Music (Music Score of a Dramatic Picture),So Ends Our Night,So Ends Our Night
14,Best Music (Music Score of a Dramatic Picture),Sundown,Sundown
14,Best Music (Music Score of a Dramatic Picture),Suspicion,Suspicion
14,Best Music (Music Score of a Dramatic Picture),Tanks a Million,Tanks a Million
14,Best Music (Music Score of a Dramatic Picture),That Uncertain Feeling,That Uncertain Feeling
14,Best Music (Music Score of a Dramatic Picture),This Woman is Mine,This Woman is Mine
14,Best Music (Scoring of a Musical Picture),Dumbo,Dumbo
14,Best Music (Scoring of a Musical Picture),All-American Co-Ed,All-American Co-Ed
14,Best Music (Scoring of a Musical Picture),Birth of the Blues,Birth of the Blues
14,Best Music (Scoring of a Musical Picture),Buck Privates,Buck Privates
14,Best Music (Scoring of a Musical Picture),The Chocolate Soldier,The Chocolate Soldier
14,Best Music (Scoring of a Musical Picture),Ice-Capades,Ice-Capades
14,Best Music (Scoring of a Musical Picture),The Strawberry Blonde,The Strawberry Blonde
14,Best Music (Scoring of a Musical Picture),Sun Valley Serenade,Sun Valley Serenade
14,Best Music (Scoring of a Musical Picture),Sunny,Sunny
14,Best Music (Scoring of a Musical Picture),You'll Never Get Rich,You'll Never Get Rich
14,Best Music (Song),"""The Last Time I Saw Paris"" from Lady Be Good",Lady Be Good
14,Best Music (Song),"""Baby Mine"" from Dumbo",Dumbo
14,Best Music (Song),"""Be Honest With Me"" from Ridin' on a Rainbow",Ridin' on a Rainbow
14,Best Music (Song),"""Blues in the Night"" from Blues in the Night",Blues in the Night
14,Best Music (Song),"""Boogie Woogie Bugle Boy of Company B"" from Buck Privates",Buck Privates
14,Best Music (Song),"""Chattanooga Choo Choo"" from Sun Valley Serenade",Sun Valley Serenade
14,Best Music (Song),"""Dolores"" from Las Vegas Nights",Las Vegas Nights
14,Best Music (Song),"""Out of the Silence"" from All-American Co-ed",All-American Co-ed
14,Best Music (Song),"""Since I Kissed My Baby Goodbye"" from You'll Never Get Rich",You'll Never Get Rich
14,Best Sound Recording,That Hamilton Woman,That Hamilton Woman
14,Best Sound Recording,Appointment for Love,Appointment for Love
14,Best Sound Recording,Ball of Fire,Ball of Fire
14,Best Sound Recording,The Chocolate Soldier,The Chocolate Soldier
14,Best Sound Recording,Citizen Kane,Citizen Kane
14,Best Sound Recording,The Devil Pays Off,The Devil Pays Off
14,Best Sound Recording,How Green Was My Valley,How Green Was My Valley
14,Best Sound Recording,The Men in Her Life,The Men in Her Life
14,Best Sound Recording,Sergeant York,Sergeant York
14,Best Sound Recording,Skylark,Skylark
14,Best Sound Recording,Topper Returns,Topper Returns
14,Best Art Direction (Black-and-White),How Green Was My Valley,How Green Was My Valley
14,Best Art Direction (Black-and-White),Citizen Kane,Citizen Kane
14,Best Art Direction (Black-and-White),The Flame of New Orleans,The Flame of New Orleans
14,Best Art Direction (Black-and-White),Hold Back the Dawn,Hold Back the Dawn
14,Best Art Direction (Black-and-White),Ladies in Retirement,Ladies in Retirement
14,Best Art Direction (Black-and-White),The Little Foxes,The Little Foxes
14,Best Art Direction (Black-and-White),Sergeant York,Sergeant York
14,Best Art Direction (Black-and-White),The Son of Monte Cristo,The Son of Monte Cristo
14,Best Art Direction (Black-and-White),Sundown,Sundown
14,Best Art Direction (Black-and-White),That Hamilton Woman,That Hamilton Woman
14,Best Art Direction (Black-and-White),When Ladies Meet,When Ladies Meet
14,Best Art Direction (Black-and-White),Sis Hopkins,Sis Hopkins
14,Best Art Direction (Color),Blossoms in the Dust,Blossoms in the Dust
14,Best Art Direction (Color),Blood and Sand,Blood and Sand
14,Best Art Direction (Color),Louisiana Purchase,Louisiana Purchase
14,Best Cinematography (Black-and-White),How Green Was My Valley,How Green Was My Valley
14,Best Cinematography (Black-and-White),The Chocolate Soldier,The Chocolate Soldier
14,Best Cinematography (Black-and-White),Citizen Kane,Citizen Kane
14,Best Cinematography (Black-and-White),Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde
14,Best Cinematography (Black-and-White),Here Comes Mr. Jordan,Here Comes Mr. Jordan
14,Best Cinematography (Black-and-White),Hold Back the Dawn,Hold Back the Dawn
14,Best Cinematography (Black-and-White),Sergeant York,Sergeant York
14,Best Cinematography (Black-and-White),Sun Valley Serenade,Sun Valley Serenade
14,Best Cinematography (Black-and-White),Sundown,Sundown
14,Best Cinematography (Black-and-White),That Hamilton Woman,That Hamilton Woman
14,Best Cinematography (Color),Blood and Sand,Blood and Sand
14,Best Cinematography (Color),Aloma of the South Seas,Aloma of the South Seas
14,Best Cinematography (Color),Billy the Kid,Billy the Kid
14,Best Cinematography (Color),Blossoms in the Dust,Blossoms in the Dust
14,Best Cinematography (Color),Dive Bomber,Dive Bomber
14,Best Cinematography (Color),Louisiana Purchase,Louisiana Purchase
14,Best Film Editing,Sergeant York,Sergeant York
14,Best Film Editing,Citizen Kane,Citizen Kane
14,Best Film Editing,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde
14,Best Film Editing,How Green Was My Valley,How Green Was My Valley
14,Best Film Editing,The Little Foxes,The Little Foxes
14,Best Special Effects,I Wanted Wings,I Wanted Wings
14,Best Special Effects,Aloma of the South Seas,Aloma of the South Seas
14,Best Special Effects,Flight Command,Flight Command
14,Best Special Effects,The Invisible Woman,The Invisible Woman
14,Best Special Effects,The Sea Wolf,The Sea Wolf
14,Best Special Effects,That Hamilton Woman,That Hamilton Woman
14,Best Special Effects,Topper Returns,Topper Returns
14,Best Special Effects,A Yank in the R.A.F.,A Yank in the R.A.F.
14,Best Special Effects,Dive Bomber,Dive Bomber
15,Outstanding Motion Picture,Mrs. Miniver,Mrs. Miniver
15,Outstanding Motion Picture,49th Parallel,49th Parallel
15,Outstanding Motion Picture,Kings Row,Kings Row
15,Outstanding Motion Picture,The Magnificent Ambersons,The Magnificent Ambersons
15,Outstanding Motion Picture,The Pied Piper,The Pied Piper
15,Outstanding Motion Picture,The Pride of the Yankees,The Pride of the Yankees
15,Outstanding Motion Picture,Random Harvest,Random Harvest
15,Outstanding Motion Picture,The Talk of the Town,The Talk of the Town
15,Outstanding Motion Picture,Wake Island,Wake Island
15,Outstanding Motion Picture,Yankee Doodle Dandy,Yankee Doodle Dandy
15,Best Directing,William Wyler,Mrs. Miniver
15,Best Directing,Sam Wood,Kings Row
15,Best Directing,Mervyn LeRoy,Random Harvest
15,Best Directing,John Farrow,Wake Island
15,Best Directing,Michael Curtiz,Yankee Doodle Dandy
15,Best Actor,James Cagney,Yankee Doodle Dandy
15,Best Actor,Ronald Colman,Random Harvest
15,Best Actor,Gary Cooper,The Pride of the Yankees
15,Best Actor,Walter Pidgeon,Mrs. Miniver
15,Best Actor,Monty Woolley,The Pied Piper
15,Best Actress,Greer Garson,Mrs. Miniver
15,Best Actress,Bette Davis,"Now, Voyager"
15,Best Actress,Katharine Hepburn,Woman of the Year
15,Best Actress,Rosalind Russell,My Sister Eileen
15,Best Actress,Teresa Wright,The Pride of the Yankees
15,Best Actor in a Supporting Role,Van Heflin,Johnny Eager
15,Best Actor in a Supporting Role,William Bendix,Wake Island
15,Best Actor in a Supporting Role,Walter Huston,Yankee Doodle Dandy
15,Best Actor in a Supporting Role,Frank Morgan,Tortilla Flat
15,Best Actor in a Supporting Role,Henry Travers,Mrs. Miniver
15,Best Actress in a Supporting Role,Teresa Wright,Mrs. Miniver
15,Best Actress in a Supporting Role,Gladys Cooper,"Now, Voyager"
15,Best Actress in a Supporting Role,Agnes Moorehead,The Magnificent Ambersons
15,Best Actress in a Supporting Role,Susan Peters,Random Harvest
15,Best Actress in a Supporting Role,Dame May Whitty,Mrs. Miniver
15,Best Writing (Original Screenplay),Woman of the Year,Woman of the Year
15,Best Writing (Original Screenplay),One of Our Aircraft Is Missing,One of Our Aircraft Is Missing
15,Best Writing (Original Screenplay),Road to Morocco,Road to Morocco
15,Best Writing (Original Screenplay),Wake Island,Wake Island
15,Best Writing (Original Screenplay),The War Against Mrs. Hadley,The War Against Mrs. Hadley
15,Best Writing (Screenplay),Mrs. Miniver,Mrs. Miniver
15,Best Writing (Screenplay),49th Parallel,49th Parallel
15,Best Writing (Screenplay),The Pride of the Yankees,The Pride of the Yankees
15,Best Writing (Screenplay),Random Harvest,Random Harvest
15,Best Writing (Screenplay),The Talk of the Town,The Talk of the Town
15,Best Writing (Original Motion Picture Story),49th Parallel,49th Parallel
15,Best Writing (Original Motion Picture Story),Holiday Inn,Holiday Inn
15,Best Writing (Original Motion Picture Story),The Pride of the Yankees,The Pride of the Yankees
15,Best Writing (Original Motion Picture Story),The Talk of the Town,The Talk of the Town
15,Best Writing (Original Motion Picture Story),Yankee Doodle Dandy,Yankee Doodle Dandy
15,Best Documentary,The Battle of Midway,The Battle of Midway
15,Best Documentary,Kokoda Front Line!,Kokoda Front Line!
15,Best Documentary,Moscow Strikes Back,Moscow Strikes Back
15,Best Documentary,Prelude to War,Prelude to War
15,Best Documentary,"Africa, Prelude to Victory","Africa, Prelude to Victory"
15,Best Documentary,Combat Report,Combat Report
15,Best Documentary,Conquer by the Clock,Conquer by the Clock
15,Best Documentary,The Grain That Built a Hemisphere,The Grain That Built a Hemisphere
15,Best Documentary,"Henry Browne, Farmer","Henry Browne, Farmer"
15,Best Documentary,High Over the Borders,High Over the Borders
15,Best Documentary,High Stakes in the East,High Stakes in the East
15,Best Documentary,Inside Fighting China,Inside Fighting China
15,Best Documentary,It's Everybody's War,It's Everybody's War
15,Best Documentary,Listen to Britain,Listen to Britain
15,Best Documentary,Little Belgium,Little Belgium
15,Best Documentary,Little Isles of Freedom,Little Isles of Freedom
15,Best Documentary,Mr. Blabbermouth!,Mr. Blabbermouth!
15,Best Documentary,Mr. Gardenia Jones,Mr. Gardenia Jones
15,Best Documentary,The New Spirit,The New Spirit
15,Best Documentary,The Price of Victory,The Price of Victory
15,Best Documentary,A Ship Is Born,A Ship Is Born
15,Best Documentary,Twenty-One Miles,Twenty-One Miles
15,Best Documentary,We Refuse to Die,We Refuse to Die
15,Best Documentary,White Eagle,White Eagle
15,Best Documentary,Winning Your Wings,Winning Your Wings
15,Best Short Subject (One-Reel),Speaking of Animals and Their Families,Speaking of Animals and Their Families
15,Best Short Subject (One-Reel),Desert Wonderland,Desert Wonderland
15,Best Short Subject (One-Reel),Marines in the Making,Marines in the Making
15,Best Short Subject (One-Reel),United States Marine Band,United States Marine Band
15,Best Short Subject (Two-Reel),Beyond the Line of Duty,Beyond the Line of Duty
15,Best Short Subject (Two-Reel),Don't Talk,Don't Talk
15,Best Short Subject (Two-Reel),Private Smith of the U.S.A.,Private Smith of the U.S.A.
15,Best Short Subject (Cartoon),Der Fuehrer's Face,Der Fuehrer's Face
15,Best Short Subject (Cartoon),"All Out for ""V""","All Out for ""V"""
15,Best Short Subject (Cartoon),Blitz Wolf,Blitz Wolf
15,Best Short Subject (Cartoon),Juke Box Jamboree,Juke Box Jamboree
15,Best Short Subject (Cartoon),Pigs in a Polka,Pigs in a Polka
15,Best Short Subject (Cartoon),Tulips Shall Grow,Tulips Shall Grow
15,Best Music (Music Score of a Dramatic or Comedy Picture),"Now, Voyager","Now, Voyager"
15,Best Music (Music Score of a Dramatic or Comedy Picture),Arabian Nights,Arabian Nights
15,Best Music (Music Score of a Dramatic or Comedy Picture),Bambi,Bambi
15,Best Music (Music Score of a Dramatic or Comedy Picture),The Black Swan,The Black Swan
15,Best Music (Music Score of a Dramatic or Comedy Picture),The Corsican Brothers,The Corsican Brothers
15,Best Music (Music Score of a Dramatic or Comedy Picture),Flying Tigers,Flying Tigers
15,Best Music (Music Score of a Dramatic or Comedy Picture),The Gold Rush,The Gold Rush
15,Best Music (Music Score of a Dramatic or Comedy Picture),I Married a Witch,I Married a Witch
15,Best Music (Music Score of a Dramatic or Comedy Picture),Joan of Paris,Joan of Paris
15,Best Music (Music Score of a Dramatic or Comedy Picture),Jungle Book,Jungle Book
15,Best Music (Music Score of a Dramatic or Comedy Picture),Klondike Fury,Klondike Fury
15,Best Music (Music Score of a Dramatic or Comedy Picture),The Pride of the Yankees,The Pride of the Yankees
15,Best Music (Music Score of a Dramatic or Comedy Picture),Random Harvest,Random Harvest
15,Best Music (Music Score of a Dramatic or Comedy Picture),The Shanghai Gesture,The Shanghai Gesture
15,Best Music (Music Score of a Dramatic or Comedy Picture),Silver Queen,Silver Queen
15,Best Music (Music Score of a Dramatic or Comedy Picture),"Take a Letter, Darling","Take a Letter, Darling"
15,Best Music (Music Score of a Dramatic or Comedy Picture),The Talk of the Town,The Talk of the Town
15,Best Music (Music Score of a Dramatic or Comedy Picture),To Be or Not to Be,To Be or Not to Be
15,Best Music (Scoring of a Musical Picture),Yankee Doodle Dandy,Yankee Doodle Dandy
15,Best Music (Scoring of a Musical Picture),Flying with Music,Flying with Music
15,Best Music (Scoring of a Musical Picture),For Me and My Gal,For Me and My Gal
15,Best Music (Scoring of a Musical Picture),Holiday Inn,Holiday Inn
15,Best Music (Scoring of a Musical Picture),It Started with Eve,It Started with Eve
15,Best Music (Scoring of a Musical Picture),Johnny Doughboy,Johnny Doughboy
15,Best Music (Scoring of a Musical Picture),My Gal Sal,My Gal Sal
15,Best Music (Scoring of a Musical Picture),You Were Never Lovelier,You Were Never Lovelier
15,Best Music (Song),"""White Christmas"" from Holiday Inn",Holiday Inn
15,Best Music (Song),"""Always in My Heart"" from Always in My Heart",Always in My Heart
15,Best Music (Song),"""Dearly Beloved"" from You Were Never Lovelier",You Were Never Lovelier
15,Best Music (Song),"""How About You?"" from Babes on Broadway",Babes on Broadway
15,Best Music (Song),"""I've Got a Gal in Kalamazoo"" from Orchestra Wives",Orchestra Wives
15,Best Music (Song),"""I've Heard That Song Before"" from Youth on Parade",Youth on Parade
15,Best Music (Song),"""Love Is a Song"" from Bambi",Bambi
15,Best Music (Song),"""Pennies for Peppino"" from Flying with Music",Flying with Music
15,Best Music (Song),"""Pig Foot Pete"" from Hellzapoppin'",Hellzapoppin'
15,Best Music (Song),"""There's a Breeze on Lake Louise"" from The Mayor of 44th Street",The Mayor of 44th Street
15,Best Sound Recording,Yankee Doodle Dandy,Yankee Doodle Dandy
15,Best Sound Recording,Arabian Nights,Arabian Nights
15,Best Sound Recording,Bambi,Bambi
15,Best Sound Recording,Flying Tigers,Flying Tigers
15,Best Sound Recording,Friendly Enemies,Friendly Enemies
15,Best Sound Recording,The Gold Rush,The Gold Rush
15,Best Sound Recording,Mrs. Miniver,Mrs. Miniver
15,Best Sound Recording,Once Upon a Honeymoon,Once Upon a Honeymoon
15,Best Sound Recording,The Pride of the Yankees,The Pride of the Yankees
15,Best Sound Recording,Road to Morocco,Road to Morocco
15,Best Sound Recording,This Above All,This Above All
15,Best Sound Recording,You Were Never Lovelier,You Were Never Lovelier
15,Best Art Direction (Black-and-White),This Above All,This Above All
15,Best Art Direction (Black-and-White),George Washington Slept Here,George Washington Slept Here
15,Best Art Direction (Black-and-White),The Magnificent Ambersons,The Magnificent Ambersons
15,Best Art Direction (Black-and-White),The Pride of the Yankees,The Pride of the Yankees
15,Best Art Direction (Black-and-White),Random Harvest,Random Harvest
15,Best Art Direction (Black-and-White),The Shanghai Gesture,The Shanghai Gesture
15,Best Art Direction (Black-and-White),Silver Queen,Silver Queen
15,Best Art Direction (Black-and-White),The Spoilers,The Spoilers
15,Best Art Direction (Black-and-White),"Take a Letter, Darling","Take a Letter, Darling"
15,Best Art Direction (Black-and-White),The Talk of the Town,The Talk of the Town
15,Best Art Direction (Color),My Gal Sal,My Gal Sal
15,Best Art Direction (Color),Arabian Nights,Arabian Nights
15,Best Art Direction (Color),Captains of the Clouds,Captains of the Clouds
15,Best Art Direction (Color),Jungle Book,Jungle Book
15,Best Art Direction (Color),Reap the Wild Wind,Reap the Wild Wind
15,Best Cinematography (Black-and-White),Mrs. Miniver,Mrs. Miniver
15,Best Cinematography (Black-and-White),Kings Row,Kings Row
15,Best Cinematography (Black-and-White),The Magnificent Ambersons,The Magnificent Ambersons
15,Best Cinematography (Black-and-White),Moontide,Moontide
15,Best Cinematography (Black-and-White),The Pied Piper,The Pied Piper
15,Best Cinematography (Black-and-White),The Pride of the Yankees,The Pride of the Yankees
15,Best Cinematography (Black-and-White),"Take a Letter, Darling","Take a Letter, Darling"
15,Best Cinematography (Black-and-White),The Talk of the Town,The Talk of the Town
15,Best Cinematography (Black-and-White),Ten Gentlemen from West Point,Ten Gentlemen from West Point
15,Best Cinematography (Black-and-White),This Above All,This Above All
15,Best Cinematography (Color),The Black Swan,The Black Swan
15,Best Cinematography (Color),Arabian Nights,Arabian Nights
15,Best Cinematography (Color),Captains of the Clouds,Captains of the Clouds
15,Best Cinematography (Color),Jungle Book,Jungle Book
15,Best Cinematography (Color),Reap the Wild Wind,Reap the Wild Wind
15,Best Cinematography (Color),To the Shores of Tripoli,To the Shores of Tripoli
15,Best Film Editing,The Pride of the Yankees,The Pride of the Yankees
15,Best Film Editing,Mrs. Miniver,Mrs. Miniver
15,Best Film Editing,The Talk of the Town,The Talk of the Town
15,Best Film Editing,This Above All,This Above All
15,Best Film Editing,Yankee Doodle Dandy,Yankee Doodle Dandy
15,Best Special Effects,Reap the Wild Wind,Reap the Wild Wind
15,Best Special Effects,The Black Swan,The Black Swan
15,Best Special Effects,Desperate Journey,Desperate Journey
15,Best Special Effects,Flying Tigers,Flying Tigers
15,Best Special Effects,Invisible Agent,Invisible Agent
15,Best Special Effects,Jungle Book,Jungle Book
15,Best Special Effects,Mrs. Miniver,Mrs. Miniver
15,Best Special Effects,The Navy Comes Through,The Navy Comes Through
15,Best Special Effects,One of Our Aircraft Is Missing,One of Our Aircraft Is Missing
15,Best Special Effects,The Pride of the Yankees,The Pride of the Yankees
16,Outstanding Motion Picture,Casablanca,Casablanca
16,Outstanding Motion Picture,For Whom the Bell Tolls,For Whom the Bell Tolls
16,Outstanding Motion Picture,Heaven Can Wait,Heaven Can Wait
16,Outstanding Motion Picture,The Human Comedy,The Human Comedy
16,Outstanding Motion Picture,In Which We Serve,In Which We Serve
16,Outstanding Motion Picture,Madame Curie,Madame Curie
16,Outstanding Motion Picture,The More the Merrier,The More the Merrier
16,Outstanding Motion Picture,The Ox-Bow Incident,The Ox-Bow Incident
16,Outstanding Motion Picture,The Song of Bernadette,The Song of Bernadette
