Movie_Name,Release_Date,Box_Office,Run_Time,Languages
Fellini Satyricon,1969-01-01,1400000.00,129,
Fellini's Casanova,1976-01-01,,155,
Fences,2016-01-01,64400000.00,138,
Feral,2012-01-01,,13,
Ferdinand,2017-01-01,296000000.00,108,
Ferdinand the Bull,1938-01-01,,7,
Ferry Tales,2003-01-01,,40,
Festival,1967-01-01,,97,
Fiddlefest,1995-01-01,20819.00,77,
Fiddler on the Roof,1971-01-01,83300000.00,181,
Field of Dreams,1989-01-01,84400000.00,106,
Fiesta,1947-01-01,5635000.00,104,
Fifty Shades of Grey,2015-01-01,569700000.00,125,
Fight Club,1999-01-01,101000000.00,139,
Fighting for Our Lives,1975-01-01,,59,
Finding Nemo,2003-01-01,940300000.00,100,
Finding Neverland,2004-01-01,116800000.00,101,
Finding Vivian Maier,2013-01-01,2200000.00,84,
"Fine Food, Fine Pastries, Open 6 to 9",1989-01-01,,29,
Finian's Rainbow,1968-01-01,11600000.00,145,
Fire at Sea,2016-01-01,1000000.00,114,
Fire of Love,2022-01-01,1800000.00,93,
Fires of Kuwait,1992-01-01,,36,
First Contact,1983-01-01,,58,
First Edition,1977-01-01,,30,
First Love,1939-01-01,,84,
First Love,1970-01-01,,,
First Man,2018-01-01,105700000.00,141,
First Reformed,2017-01-01,4000000.00,113,
First Steps,1947-01-01,,10,
First Winter,1981-01-01,,26,
Five Easy Pieces,1970-01-01,18100000.00,98,
Five Graves to Cairo,1943-01-01,1650000.00,96,
Five Star Final,1931-01-01,822000.00,89,
Five Times Five,1939-01-01,,20,
Flags of Our Fathers,2006-01-01,65900000.00,132,
Flame of Barbary Coast,1945-01-01,,91,
Flamenco at 5:15,1983-01-01,,29,
Flamin' Hot,2023-01-01,,99,
Flashdance,1983-01-01,201500000.00,97,
Flat Top,1952-01-01,,85,
Flatliners,1990-01-01,61500000.00,114,
Flee,2021-01-01,2000000.00,90,
Flight,2012-01-01,161800000.00,138,
Flight Command,1940-01-01,2292000.00,115,
Flight for Freedom,1943-01-01,1500000.00,102,
Flight of the Eagle,1982-01-01,,140,
Flirtation Walk,1934-01-01,1533000.00,85,
Florence Foster Jenkins,2016-01-01,56000000.00,110,
Flow,2024-01-01,20000000.00,84,
Flower Drum Song,1961-01-01,5000000.00,132,
Flowers and Trees,1932-01-01,,8,
Fly Away Home,1996-01-01,36500000.00,107,
Flying Down to Rio,1933-01-01,1545000.00,89,
Flying Tigers,1942-01-01,1500000.00,102,
Flying with Music,1942-01-01,,46,
Folies Bergère de Paris,1935-01-01,,82,
Follow the Boys,1944-01-01,2000000.00,122,
"Food, Inc.",2008-01-01,4600000.00,94,
Footloose,1984-01-01,80000000.00,107,
Footnote,2011-01-01,2000000.00,107,
For All Mankind,1989-01-01,,80,
For Better or For Worse,1993-01-01,,57,
For Love of Ivy,1968-01-01,7270000.00,101,
For Me and My Gal,1942-01-01,4400000.00,104,
For Sama,2019-01-01,1300000.00,100,
For Scent-imental Reasons,1949-01-01,,655,
For the Birds,2000-01-01,,3,
For the Boys,1991-01-01,23200000.00,138,
For Whom the Bell Tolls,1943-01-01,17800000.00,170,
For Your Eyes Only,1981-01-01,195300000.00,127,
Forbidden Games,1952-01-01,36800000.00,86,
Forbidden Passage,1941-01-01,,21,
Forbidden Planet,1956-01-01,2765000.00,98,
Ford v Ferrari,2019-01-01,225500000.00,152,
Foreign Correspondent,1940-01-01,1598435.00,120,
Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,1990-01-01,,60,
Forever Amber,1947-01-01,5000000.00,138,
Forrest Gump,1994-01-01,678200000.00,142,
Fortress of Peace,1964-01-01,,20,
Forty Boys and a Song,1941-01-01,,10,
Foul Play,1978-01-01,45000000.00,116,
Four Daughters,1938-01-01,,90,
Four Daughters,2023-01-01,1200000.00,107,
Four Days in November,1964-01-01,,122,
Four Days in September,1997-01-01,1800000.00,110,
Four Good Days,2021-01-01,864091.00,100,
Four Stones for Kanemitsu,1973-01-01,,28,
Four Weddings and a Funeral,1994-01-01,218.50,117,
Fourteen Hours,1951-01-01,,92,
Foxcatcher,2014-01-01,19200000.00,134,
Frances,1982-01-01,5000000.00,140,
Frances Steloff: Memoirs of a Bookseller,1987-01-01,,28,
Frank Film,1973-01-01,,9,
Frankenweenie,2012-01-01,81500000.00,87,
Franz Kafka's It's a Wonderful Life,1993-01-01,,23,
Free Guy,2021-01-01,331500000.00,115,
Free Solo,2018-01-01,29400000.00,100,
Freedom on My Mind,1994-01-01,,105,
Freeheld,2007-01-01,,40,
French Roast,2008-01-01,,8,
Frenchman's Creek,1944-01-01,3500000.00,113,
Fresh Guacamole,2012-01-01,,1,
Freud: The Secret Passion,1962-01-01,,140,
Frida,2002-01-01,56300000.00,123,
Fried Green Tomatoes,1991-01-01,119400000.00,130,
Friendly Enemies,1942-01-01,,95,
Friendly Persuasion,1956-01-01,8000000.00,137,
From A to Z-Z-Z-Z,1954-01-01,,7,
From Generation to Generation,1959-01-01,,27,
From Here to Eternity,1953-01-01,30500000.00,118,
From Mao to Mozart: Isaac Stern in China,1979-01-01,1205934.00,84,
Front Line,1981-01-01,,5404,
Frost/Nixon,2008-01-01,27400000.00,122,
Frozen,2013-01-01,1280000000.00,102,
Frozen II,2019-01-01,1453000000.00,103,
Frozen River,2008-01-01,6000000.00,97,
Full Metal Jacket,1987-01-01,120000000.00,116,
Funny Face,1957-01-01,2500000.00,103,
Funny Girl,1968-01-01,58500000.00,149,
Funny Lady,1975-01-01,40100000.00,136,
Fury,1936-01-01,1300000.00,92,
G Men,1935-01-01,1963000.00,85,
G. I. Honeymoon,1945-01-01,,70,
Gaby: A True Story,1987-01-01,125400.00,110,
"Gaily, Gaily",1969-01-01,1000000.00,107,
Gambit,1966-01-01,2500000.00,109,
Gandhi,1982-01-01,127800000.00,191,
Gang Cops,1988-01-01,,,
Gangs of New York,2002-01-01,193800000.00,168,
Garden Party,2017-01-01,,7,
Gasland,2010-01-01,,104,
Gaslight,1944-01-01,4600000.00,114,
Gate of Hell,1953-01-01,151800000.00,86,
Gates of Paris,1957-01-01,,95,
Gattaca,1997-01-01,12500000.00,112,
General Della Rovere,1959-01-01,,137,
General Spanky,1936-01-01,,71,
Generation on the Wind,1979-01-01,,,
Genevieve,1953-01-01,1050000.00,86,
Genghis Blues,1999-01-01,,88,
Genius Loci,2020-01-01,,,
Genocide,1981-01-01,,90,
Gentleman's Agreement,1947-01-01,7800000.00,118,
George and Rosemary,1987-01-01,,7,
George Grosz' Interregnum,1960-01-01,,29,
George Washington Slept Here,1942-01-01,1300000.00,93,
Georgia,1995-01-01,1100000.00,115,
Georgy Girl,1966-01-01,16800000.00,99,
Gerald McBoing-Boing,1950-01-01,,7,
Geri's Game,1997-01-01,,5,
Geronimo: An American Legend,1993-01-01,18600000.00,115,
Gervaise,1956-01-01,,117,
Get a Horse!,2013-01-01,,6,
Get Out,2017-01-01,255400000.00,104,
Get Out Your Handkerchiefs,1978-01-01,2086000.00,105,
Ghost,1990-01-01,505700000.00,127,
Ghost World,2001-01-01,8000000.00,112,
Ghostbusters,1984-01-01,370000000.00,105,
Ghosts of Mississippi,1996-01-01,13300000.00,130,
Giant,1956-01-01,39000000.00,201,
Gigi,1958-01-01,13200000.00,115,
Gigot,1962-01-01,1600000.00,105,
Girl with a Pearl Earring,2003-01-01,31400000.00,100,
"Girl, Interrupted",1999-01-01,48300000.00,127,
Girls' School,1938-01-01,,72,
Giuseppina,1960-01-01,,28,
"Give 'em Hell, Harry!",1975-01-01,11000000.00,104,
Give Me Liberty,1936-01-01,,22,
Gladiator,2000-01-01,465500000.00,155,
Gladiator II,2024-01-01,462200000.00,148,
Glass,1958-01-01,,11,
Glass Onion: A Knives Out Mystery,2022-01-01,15000000.00,139,
Glen Campbell: I'll Be Me,2014-01-01,,116,
Glengarry Glen Ross,1992-01-01,10700000.00,100,
Gloria,1980-01-01,4900000.00,122,
Glorious Betsy,1928-01-01,965000.00,80,
Glory,1989-01-01,27000000.00,122,
Go for Broke!,1951-01-01,3337000.00,92,
Go into Your Dance,1935-01-01,1401000.00,89,
God Is the Bigger Elvis,2012-01-01,,37,
God of Love,2010-01-01,,18,
God Sleeps in Rwanda,2005-01-01,,28,
Gods and Monsters,1998-01-01,6500000.00,105,
Gods of Metal,1982-01-01,,,
Godzilla Minus One,2023-01-01,113.60,125,
Going My Way,1944-01-01,6500000.00,126,
Going Places,1938-01-01,,84,
Going the Distance,1979-01-01,,89,
Gold,1974-01-01,454538.00,120,
Gold Diggers of 1933,1933-01-01,3231000.00,90,
Gold Diggers of 1935,1935-01-01,1365000.00,95,
Gold Diggers of 1937,1936-01-01,,101,
Golda,2023-01-01,7000000.00,100,
Golden Boy,1939-01-01,,99,
Golden Girl,1951-01-01,1500000.00,108,
Goldfinger,1964-01-01,125000000.00,110,
Goliath II,1960-01-01,,15,
Gone Baby Gone,2007-01-01,34600000.00,114,
Gone Girl,2014-01-01,370900000.00,149,
Gone Nutty,2002-01-01,,4,
Gone With the Wind,1939-01-01,390000000.00,221,
"Good Morning, Vietnam",1987-01-01,123900000.00,121,
Good News,1947-01-01,2956000.00,93,
"Good Night, and Good Luck",2005-01-01,54600000.00,93,
Good Scouts,1938-01-01,,8,
Good Will Hunting,1997-01-01,225900000.00,126,
"Goodbye, Columbus",1969-01-01,22939805.00,102,
"Goodbye, Miss Turlock",1948-01-01,,11,
"Goodbye, Mr. Chips",1939-01-01,3252000.00,114,
"Goodbye, Mr. Chips",1969-01-01,,152,
Goodfellas,1990-01-01,47100000.00,146,
Goodnight Miss Ann,1978-01-01,,10,
Gopher Broke,2004-01-01,,4,
Gorillas in the Mist,1988-01-01,61100000.00,129,
Gosford Park,2001-01-01,87800000.00,137,
Grand Canyon,1958-01-01,,29,
Grand Canyon,1991-01-01,40991329.00,137,
Grand Hotel,1932-01-01,2594000.00,112,
Grand Prix,1966-01-01,20800000.00,176,
Grandad of Races,1950-01-01,,,
Granny O'Grimm's Sleeping Beauty,2008-01-01,,6,
Grasshoppers (Cavallette),1990-01-01,,9,
Gravity,2013-01-01,723200000.00,91,
Gravity Is My Enemy,1977-01-01,,26,
Grease,1978-01-01,396300000.00,110,
Great,1975-01-01,,28,
Great Expectations,1946-01-01,412800.00,118,
Green Book,2018-01-01,321800000.00,130,
Green Card,1990-01-01,38000000.00,107,
Green Dolphin Street,1947-01-01,7173000.00,142,
Green Grass of Wyoming,1948-01-01,2100000.00,89,
Greetings Bait,1943-01-01,,7,
Greyhound,2020-01-01,,91,
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984-01-01,45900000.00,130,
Guard Dog,2004-01-01,,,
Guardians of the Galaxy,2014-01-01,773400000.00,122,
Guardians of the Galaxy Vol. 2,2017-01-01,869000000.00,136,
Guardians of the Galaxy Vol. 3,2023-01-01,845600000.00,150,
Guess Who's Coming to Dinner,1967-01-01,56700000.00,108,
Guest in the House,1944-01-01,1450000.00,117,
Guest Wife,1945-01-01,,90,
Guillermo del Toro's Pinocchio,2022-01-01,109846.00,121,
Gulliver's Travels,1939-01-01,3270000.00,76,
Gunfight at the O.K. Corral,1957-01-01,10700000.00,122,
Guys and Dolls,1955-01-01,6874673.00,150,
Gypsy,1962-01-01,11076923.00,143,
Hacksaw Ridge,2016-01-01,180500000.00,139,
Hail the Conquering Hero,1944-01-01,,101,
"Hail, Caesar!",2016-01-01,63600000.00,106,
Hair Love,2019-01-01,,6,
"Hale County This Morning, This Evening",2018-01-01,112300.00,76,
Half a House,1976-01-01,,95,
Half Nelson,2006-01-01,4900000.00,102,
Hallelujah,1929-01-01,,109,
Hamlet,1948-01-01,3250000.00,155,
Hamlet,1990-01-01,22300000.00,134,
Hamlet,1996-01-01,4700000.00,242,
Hangmen Also Die!,1943-01-01,,134,
Hank Aaron: Chasing the Dream,1995-01-01,,120,
Hannah and Her Sisters,1986-01-01,40100000.00,106,
Hans Christian Andersen,1952-01-01,6000000.00,112,
Hanussen,1988-01-01,82635.00,140,
Happy Feet,2006-01-01,384300000.00,108,
Happy New Year,1987-01-01,41000.00,85,
Happy-Go-Lucky,2008-01-01,11700000.00,118,
Hardwood,2005-01-01,,29,
"Harlan County, USA",1976-01-01,,103,
Harlem Nights,1989-01-01,60900000.00,116,
Harriet,2019-01-01,44000000.00,125,
Harry and the Butler,1961-01-01,,105,
Harry and the Hendersons,1987-01-01,50000000.00,110,
Harry and Tonto,1974-01-01,4600000.00,115,
Harry Potter and the Deathly Hallows – Part 1,2010-01-01,960900000.00,146,
Harry Potter and the Deathly Hallows – Part 2,2011-01-01,1342000000.00,130,
Harry Potter and the Goblet of Fire,2005-01-01,897500000.00,157,
Harry Potter and the Half-Blood Prince,2009-01-01,941100000.00,153,
Harry Potter and the Philosopher's Stone,2001-01-01,1026000000.00,152,
Harry Potter and the Prisoner of Azkaban,2004-01-01,808500000.00,142,
Harvest,1967-01-01,,,
Harvey,1950-01-01,2600000.00,104,
Harvie Krumpet,2003-01-01,,22,
Hatari!,1962-01-01,12923077.00,157,
Haulout,2022-01-01,,25,
Havana,1990-01-01,9600000.00,144,
Hawaii,1966-01-01,34500000.00,188,
He Makes Me Feel Like Dancin',1983-01-01,,60,
Head over Heels,2012-01-01,,10,
Heart Like a Wheel,1983-01-01,272278.00,113,
Heart to Heart,1949-01-01,,21,
Heartbeeps,1981-01-01,2154696.00,78,
Heartbreak Ridge,1955-01-01,,90,
Heartbreak Ridge,1986-01-01,121700000.00,130,
Hearts and Minds,1974-01-01,,112,
Heaven Can Wait,1943-01-01,2500000.00,112,
Heaven Can Wait,1978-01-01,98800000.00,101,
Heaven Is a Traffic Jam on the 405,2016-01-01,,40,
"Heaven Knows, Mr. Allison",1957-01-01,4200000.00,106,
Heavenly Creatures,1994-01-01,5400000.00,99,
Heavenly Music,1943-01-01,,22,
Hedd Wyn,1992-01-01,,123,
Hedda,1975-01-01,,102,
Helen Keller in Her Story,1954-01-01,,55,
Helicopter Canada,1966-01-01,,50,
Helium,2014-01-01,,23,
Hell and Back Again,2011-01-01,40634.00,88,
Hell and High Water,1954-01-01,2700000.00,103,
Hell or High Water,2016-01-01,37900000.00,102,
Hell's Angels,1930-01-01,2500000.00,131,
Hellboy II: The Golden Army,2008-01-01,168300000.00,120,
Hellfire: A Journey from Hiroshima,1986-01-01,,58,
"Hello, Dolly!",1969-01-01,26000000.00,148,
"Hello, Frisco, Hello",1943-01-01,2855000.00,99,
Hellzapoppin',1941-01-01,1700000.00,84,
Helmer & Son,2006-01-01,,,
Help! My Snowman's Burning Down,1964-01-01,,10,
Henry,2011-01-01,,21,
Henry & June,1990-01-01,11500000.00,136,
"Henry Browne, Farmer",1942-01-01,,9,
Henry V,1944-01-01,2000000.00,136,
Henry V,1989-01-01,10200000.00,137,
Her,2013-01-01,48300000.00,126,
Hercules,1997-01-01,252700000.00,93,
Here Come the Waves,1944-01-01,,99,
Here Comes Mr. Jordan,1941-01-01,,94,
Here Comes the Groom,1951-01-01,2550000.00,113,
Here Comes the Navy,1934-01-01,1758000.00,87,
Hereafter,2010-01-01,107000000.00,129,
Hero,2002-01-01,177400000.00,99,
Heroin(e),2017-01-01,,39,
Herring Hunt,1953-01-01,,1047,
Hers to Hold,1943-01-01,1700000.00,94,
Hester Street,1975-01-01,4000000.00,90,
Heureux Anniversaire,1962-01-01,,12,
Hi Diddle Diddle,1943-01-01,,72,
Hiawatha's Rabbit Hunt,1941-01-01,,730,
Hidden Figures,2016-01-01,236000000.00,127,
Hide-Out,1934-01-01,,81,
High Grass Circus,1976-01-01,,57,
High Noon,1952-01-01,12000000.00,85,
High Note,1960-01-01,,631,
High Schools,1984-01-01,,28,
High Society,1956-01-01,8200000.00,111,
High Time,1960-01-01,2500000.00,103,
Higher and Higher,1944-01-01,2000000.00,90,
Hilary and Jackie,1998-01-01,3900000.00,121,
Hillbilly Elegy,2020-01-01,38852.00,115,
Himalaya,1999-01-01,40100000.00,108,
"Hiroshima, My Love",1959-01-01,,90,
His Butler's Sister,1943-01-01,1700000.00,87,
Hiss and Yell,1946-01-01,,,
History of the World in Three Minutes Flat,1980-01-01,,3,
Hit Parade of 1941,1940-01-01,,88,
Hit Parade of 1943,1943-01-01,,82,
Hitchcock,2012-01-01,27000000.00,98,
Hitchhike to Happiness,1945-01-01,,74,
Hitler Lives,1945-01-01,,17,
Hitting a New High,1937-01-01,488000.00,85,
Hoa-Binh,1970-01-01,,105,
Hoffa,1992-01-01,29300000.00,140,
Hold Back the Dawn,1941-01-01,,116,
Holiday,1930-01-01,,98,
Holiday,1938-01-01,,95,
Holiday Inn,1942-01-01,3750000.00,100,
Holiday Land,1934-01-01,,8,
Hollow Man,2000-01-01,190200000.00,112,
Hollywood Canteen,1944-01-01,4200000.00,124,
Hollywood in Uniform,1943-01-01,,10,
Hollywood on Trial,1976-01-01,,105,
Holy Matrimony,1943-01-01,1250000.00,87,
Homage to Chagall: The Colours of Love,1977-01-01,,88,
Home Alone,1990-01-01,476700000.00,103,
Home in Indiana,1944-01-01,1750000.00,103,
Hondo,1953-01-01,4100000.00,84,
Honeyland,2019-01-01,1315037.00,87,
Honeysuckle Rose,1980-01-01,17800000.00,119,
Hook,1991-01-01,300900000.00,142,
Hoop Dreams,1994-01-01,11800000.00,171,
Hooper,1978-01-01,78000000.00,99,
Hoosiers,1986-01-01,28600000.00,115,
Hope and Glory,1987-01-01,10000000.00,113,
Hot Millions,1968-01-01,,106,
Hotel Rwanda,2004-01-01,33900000.00,121,
Hotel Terminus: The Life and Times of Klaus Barbie,1988-01-01,341018.00,267,
House of Flying Daggers,2004-01-01,92900000.00,119,
House of Gucci,2021-01-01,153300000.00,158,
House of Sand and Fog,2003-01-01,16900000.00,124,
Houseboat,1958-01-01,3500000.00,109,
How Do You Measure a Year?,2021-01-01,,29,
How Green Was My Valley,1941-01-01,2400000.00,118,
How the Grinch Stole Christmas,2000-01-01,347200000.00,105,
How the West Was Won,1962-01-01,50000000.00,164,
How to Marry a Millionaire,1953-01-01,8000000.00,95,
How to Play Football,1944-01-01,,7,
How to Sleep,1935-01-01,,11,
How to Survive a Plague,2012-01-01,132055.00,109,
How to Train Your Dragon,2010-01-01,494900000.00,98,
How to Train Your Dragon 2,2014-01-01,621500000.00,102,
How to Train Your Dragon: The Hidden World,2019-01-01,540000000.00,104,
Howards End,1992-01-01,32000000.00,142,
Howl's Moving Castle,2004-01-01,236000000.00,119,
Hud,1963-01-01,10000000.00,112,
Hugo,2011-01-01,185800000.00,126,
Humdrum,1999-01-01,,7,
Humoresque,1946-01-01,3399000.00,125,
Hundertwasser's Rainy Day,1972-01-01,,43,
Hungarians,1978-01-01,,107,
Hunger,1974-01-01,,11,
Hunger Ward,2020-01-01,,40,
Hunky and Spunky,1938-01-01,,,
Husbands and Wives,1992-01-01,10600000.00,108,
"Hush...Hush, Sweet Charlotte",1964-01-01,4000000.00,133,
Hustle & Flow,2005-01-01,23500000.00,116,
Hymn of the Nations,1944-01-01,,31,
I Am a Fugitive from a Chain Gang,1932-01-01,1599000.00,93,
I Am a Promise: The Children of Stanton Elementary School,1993-01-01,,88,
I Am Love,2009-01-01,15100000.00,120,
I Am Not Your Negro,2016-01-01,9600000.00,95,
"I Am Ready, Warden",2024-01-01,,37,
I Am Sam,2001-01-01,97800000.00,132,
I Dream Too Much,1935-01-01,640000.00,97,
I Even Met Happy Gypsies,1967-01-01,,82,
I Girasoli,1970-01-01,2000000.00,101,
I Lost My Body,2019-01-01,1100000.00,81,
I Love You Rosa,1972-01-01,,92,
I Married a Witch,1942-01-01,1100000.00,77,
I Met the Walrus,2007-01-01,,5,
I Never Forget a Face,1956-01-01,,11,
I Never Promised You a Rose Garden,1977-01-01,3200000.00,96,
I Never Sang for My Father,1970-01-01,,92,
I Remember Mama,1948-01-01,2900000.00,134,
I Vitelloni,1953-01-01,,108,
I Want to Live!,1958-01-01,3500000.00,120,
I Want You,1951-01-01,1500000.00,102,
I Wanted Wings,1941-01-01,,135,
I Was a Communist for the FBI,1951-01-01,1759000.00,83,
I Won't Play,1944-01-01,,18,
"I, Robot",2004-01-01,353100000.00,115,
"I, Tonya",2017-01-01,53900000.00,120,
I'll Cry Tomorrow,1955-01-01,7727000.00,119,
I'll Find a Way,1977-01-01,,26,
I'll Get By,1950-01-01,2450000.00,83,
I'll Wait for the Next One (J'Attendrai Le Suivant),2002-01-01,,4,
I'm Not a Robot,2023-01-01,,22,
I'm Not There,2007-01-01,11700000.00,135,
I'm Still Here,2024-01-01,34000000.00,138,
Icarus,2017-01-01,,121,
Ice Age,2002-01-01,383200000.00,81,
Ice Castles,1978-01-01,9500000.00,110,
Ice Merchants,2022-01-01,,14,
Ice Station Zebra,1968-01-01,4600000.00,149,
Ice-Capades,1940-01-01,,88,
Ida,2013-01-01,15300000.00,82,
If a Tree Falls: A Story of the Earth Liberation Front,2011-01-01,,85,
If Anything Happens I Love You,2020-01-01,,12,
If Beale Street Could Talk,2018-01-01,20600000.00,117,
If I Were King,1938-01-01,,101,
If You Love This Planet,1982-01-01,,26,
Il Divo,2008-01-01,11260366.00,110,
Il Postino: The Postman,1994-01-01,33000000.00,108,
Images,1972-01-01,,101,
Imitation of Life,1934-01-01,,111,
Imitation of Life,1959-01-01,6400000.00,125,
Immortal Love,1961-01-01,,107,
In & Out,1997-01-01,63900000.00,92,
In a Better World,2010-01-01,13004504.00,118,
In America,2002-01-01,25400000.00,105,
In Beaver Valley,1950-01-01,,32,
In Bruges,2008-01-01,34500000.00,107,
In Cold Blood,1967-01-01,13000000.00,135,
In Darkness,2011-01-01,,144,
In Harm's Way,1965-01-01,4500000.00,165,
In Old Arizona,1928-01-01,1300000.00,95,
In Old Chicago,1938-01-01,1964000.00,96,
In Old Oklahoma,1943-01-01,2500000.00,102,
In Our Water,1982-01-01,,60,
In the Absence,2018-01-01,,28,
In the Bedroom,2001-01-01,44800000.00,131,
In the Heat of the Night,1967-01-01,24400000.00,110,
In the Line of Fire,1993-01-01,187000000.00,128,
In the Loop,2009-01-01,7800000.00,105,
In the Name of the Father,1993-01-01,65800000.00,133,
In the Name of the People,1985-01-01,,73,
In the Nuclear Shadow: What Can the Children Tell Us?,1983-01-01,,25,
In the Region of Ice,1976-01-01,,37,
In the Shadow of the Cypress,2023-01-01,,20,
In the Shadow of the Stars,1991-01-01,,93,
In the Valley of Elah,2007-01-01,29500000.00,121,
In the Wee Wee Hours...,1987-01-01,,20,
In the Year of the Pig,1969-01-01,,104,
In Which We Serve,1942-01-01,300000.00,115,
Incendiary Blonde,1945-01-01,,113,
Incendies,2010-01-01,16000000.00,130,
Inception,2010-01-01,839000000.00,148,
Incident,2023-01-01,,30,
Incident in New Baghdad,2011-01-01,,22,
Incredibles 2,2018-01-01,1243000000.00,118,
Independence Day,1996-01-01,817400000.00,145,
Indiana Jones and the Dial of Destiny,2023-01-01,384000000.00,154,
Indiana Jones and the Last Crusade,1989-01-01,474200000.00,128,
Indiana Jones and the Temple of Doom,1984-01-01,333100000.00,118,
Indiscretion of an American Wife,1953-01-01,,89,
Indochine,1992-01-01,29600000.00,159,
Information Please,1939-01-01,,30,
Inglourious Basterds,2009-01-01,321500000.00,153,
Inherent Vice,2014-01-01,14800000.00,149,
Inherit the Wind,1960-01-01,2000000.00,128,
Innerspace,1987-01-01,95000000.00,120,
Inocente,2012-01-01,,40,
Inside Daisy Clover,1965-01-01,1500000.00,128,
Inside Fighting China,1941-01-01,,22,
Inside Job,2010-01-01,7900000.00,108,
Inside Llewyn Davis,2013-01-01,33000000.00,105,
Inside Moves,1980-01-01,1200000.00,113,
Inside Out,2015-01-01,858800000.00,95,
Inside Out 2,2024-01-01,1699000000.00,96,
Instead of Abracadabra,2008-01-01,,22,
Instruments of a Beating Heart,2024-01-01,,23,
Interiors,1978-01-01,10400000.00,92,
Intermezzo,1939-01-01,,70,
Interrupted Melody,1955-01-01,4028000.00,106,
Interstellar,2014-01-01,759000000.00,169,
Interview with the Vampire,1994-01-01,223700000.00,122,
Interviews with My Lai Veterans,1970-01-01,,22,
Into the Arms of Strangers: Stories of the Kindertransport,2000-01-01,,122,
Into the Wild,2007-01-01,56800000.00,148,
Into the Woods,2014-01-01,213100000.00,124,
Investigation of a Citizen Above Suspicion,1970-01-01,1928000000.00,115,
Invictus,2009-01-01,122200000.00,135,
Invincible,2022-01-01,,30,
Invisible Agent,1942-01-01,1041500.00,81,
Io capitano,2023-01-01,7600000.00,121,
Iphigenia,1977-01-01,,127,
Iraq in Fragments,2006-01-01,,94,
Irene,1940-01-01,1620000.00,101,
Iris,2001-01-01,16200000.00,90,
Irish Eyes Are Smiling,1944-01-01,2250000.00,90,
Irma la Douce,1963-01-01,25200000.00,147,
Iron Man,2008-01-01,585800000.00,126,
Iron Man 2,2010-01-01,623900000.00,125,
Iron Man 3,2013-01-01,1266000000.00,131,
Ironweed,1987-01-01,7300000.00,143,
Is It Always Right to Be Right?,1970-01-01,,,
Is Paris Burning?,1966-01-01,37100000.00,173,
Isaac in America: A Journey with Isaac Bashevis Singer,1986-01-01,,58,
Island in Between,2023-01-01,,,
Islands in the Stream,1977-01-01,8000000.00,105,
Isle of Dogs,2018-01-01,64000000.00,101,
It Happened on 5th Avenue,1947-01-01,1800000.00,116,
It Happened One Night,1934-01-01,2500000.00,105,
It Happened Tomorrow,1944-01-01,,85,
It Happens Every Spring,1949-01-01,1850000.00,87,
It Should Happen to You,1954-01-01,1400000.00,87,
It Started in Naples,1960-01-01,2300000.00,100,
It Started with Eve,1941-01-01,2264300.00,90,
It's a Great Feeling,1949-01-01,2713000.00,85,
"It's a Mad, Mad, Mad, Mad World",1963-01-01,60000000.00,192,
It's a Wonderful Life,1946-01-01,3300000.00,131,
It's Always Fair Weather,1955-01-01,2374000.00,102,
It's Everybody's War,1942-01-01,,18,
It's Got Me Again!,1932-01-01,,7,
It's the Same World,1980-01-01,,20,
It's Tough to Be a Bird,1969-01-01,,21,
Ivalu,2023-01-01,,,
Ivanhoe,1952-01-01,10878000.00,107,
Jack Johnson,1970-01-01,,90,
Jack London,1943-01-01,900000.00,94,
Jackass Presents: Bad Grandpa,2013-01-01,151800000.00,92,
Jackie,2016-01-01,36600000.00,100,
Jackie Brown,1997-01-01,74700000.00,154,
Jacob the Liar,1974-01-01,,100,
Jacques-Yves Coustrau's World Without Sun,1964-01-01,,93,
Jagged Edge,1985-01-01,40500000.00,109,
James and the Giant Peach,1996-01-01,37700000.00,79,
Jammin' the Blues,1944-01-01,,10,
Jane Eyre,2011-01-01,35000000.00,120,
Janie,1944-01-01,,102,
Jaws,1975-01-01,476500000.00,124,
Jenny Is a Good Thing,1969-01-01,,18,
Jerry Maguire,1996-01-01,273600000.00,139,
Jesus Camp,2006-01-01,1000000.00,85,
Jesus Christ Superstar,1973-01-01,24500000.00,106,
Jesus of Montreal,1989-01-01,3000000.00,118,
Jet Carrier,1954-01-01,,17,
Jezebel,1938-01-01,,103,
JFK,1991-01-01,205400000.00,188,
Jim Dine: A Self-Portrait on the Walls,1995-01-01,,28,
Jim: The James Foley Story,2016-01-01,,111,
Jimmy Neutron: Boy Genius,2001-01-01,103000000.00,82,
Joan of Arc,1948-01-01,6000000.00,145,
Joan of Paris,1942-01-01,1150000.00,91,
Joanna,2013-01-01,,45,
Joe,1970-01-01,19319254.00,107,
Joe's Violin,2016-01-01,,24,
Johann Mouse,1953-01-01,,757,
John Henry and the Inky-Poo,1946-01-01,,7,
John Muir's High Sierra,1974-01-01,,22,
Johnny Belinda,1948-01-01,4100000.00,102,
Johnny Come Lately,1943-01-01,1400000.00,97,
Johnny Doughboy,1942-01-01,,63,
Johnny Eager,1941-01-01,2586000.00,107,
Johnny Flynton,2002-01-01,,37,
Jojo Rabbit,2019-01-01,93600000.00,108,
